超清频道（需梯子）,#genre#
国家地理频道,http://125.227.210.37:16408/VideoInput/play.ts
国家地理频道,http://125.227.210.55:16408/VideoInput/play.ts
CNBCHongKong,http://125.227.210.37:16415/VideoInput/play.ts
CNBCHongKong,http://125.227.210.55:16415/VideoInput/play.ts
CN卡通频道,http://125.227.210.37:16671/VideoInput/play.ts
CN卡通频道,http://125.227.210.55:16671/VideoInput/play.ts
ChannelNewsAsia,http://125.227.210.37:17524/VideoInput/play.ts
ChannelNewsAsia,http://125.227.210.55:17524/VideoInput/play.ts
BloombergTV,http://125.227.210.55:18184/VideoInput/play.ts
BloombergTV,http://125.227.210.37:18184/VideoInput/play.ts
纬来体育台,http://125.227.210.37:18358/VideoInput/play.ts
纬来体育台,http://125.227.210.55:18358/VideoInput/play.ts

备用频道（需梯子）,#genre#
中视http://50.7.61.148:30080/Entry/ctv
华视,http://50.7.61.147:30080/Entry/cts
三立台湾台,http://50.7.61.148:30080/Entry/settw-
卫视中文台,http://50.7.61.148:30080/Entry/starchinese
JET综合台,http://50.7.61.147:30080/Entry/jet
非凡商业台,http://50.7.61.147:30080/Entry/ubnbus
TLC旅游生活频道,http://50.7.61.147:30080/Entry/tlc
TVBS新闻台,http://50.7.61.148:30080/Entry/tvbsnews
HBO,http://50.7.61.148:30080/Entry/hbo
AXN,http://50.7.61.148:30080/Entry/axn
爱尔达体育1,http://50.7.61.148:30080/Entry/eltasport1
爱尔达体育2,http://50.7.61.147:30080/Entry/eltasport2
爱尔达体育3,http://50.7.61.148:30080/Entry/eltasport3
卫视电影台,http://50.7.61.147:30080/Entry/starmovie
纬来电影台,http://50.7.61.148:30080/Entry/vlmovie
亚洲旅游台,http://50.7.61.147:30080/Entry/asiatravel
#__#
優視頻道,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8

4gTV（需梯子）,#genre#
民视,http://seb.sason.top/ptv/ftv.php?id=ms
民视台湾台,http://seb.sason.top/ptv/ftv.php?id=tw
民视第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民视影剧台,http://seb.sason.top/ptv/ftv.php?id=yj
民视旅游台,http://seb.sason.top/ptv/ftv.php?id=ly
民视综艺台,http://seb.sason.top/ptv/ftv.php?id=zy

