地方频道,#genre#
舟山新闻综合,http://live.wifizs.cn/xwzh/sd/live.m3u8
徐州1台,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221225945/index.m3u8
徐州3台,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225949/index.m3u8
靖江新闻,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8
衡水新闻综合,http://hls.hsrtv.cn/hls/hstv1.m3u8
青岛生活服务,http://jsylivealone302.iqilu.com/live/jimo_tv02.m3u8
山东潍坊2,http://stream.wfcmw.cn/2/sd/live.m3u8
山东潍坊3,http://stream.wfcmw.cn/3/sd/live.m3u8
山东潍坊1,http://stream.wfcmw.cn/1/sd/live.m3u8
山东潍坊4,http://stream.wfcmw.cn/4/sd/live.m3u8
山东奎文,http://jsylivealone302.iqilu.com/live/kuiwen_tv01/index.m3u8
山东单县综合,http://jsylivealone302.iqilu.com/live/shanxian_tv01/index.m3u8
山东乳山1套,http://jsylivealone302.iqilu.com/live/rushan_tv01.m3u8
